gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Avg_Monthly_Charge,Tenure_Group
Male,0,No,No,12,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),80.62,954.04,0,79.50333333333333,1-2 Yrs
Female,0,Yes,No,46,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),49.79,2280.79,1,49.58239130434782,2-4 Yrs
Female,0,Yes,Yes,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),119.04,7147.77,0,119.12950000000001,5+ Yrs
Female,1,No,Yes,30,Yes,No,No,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),63.4,1945.8,1,64.86,2-4 Yrs
Male,0,Yes,No,21,No,No,DSL,Yes,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),82.68,1758.68,0,83.74666666666667,1-2 Yrs
Female,0,No,No,42,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),30.93,1304.16,0,31.051428571428573,2-4 Yrs
Male,0,No,Yes,66,No,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),92.77,6149.86,0,93.17969696969696,5+ Yrs
Female,1,No,No,53,No,Yes,DSL,No,Yes,Yes,Yes,No,No,One year,Yes,Credit card (automatic),45.46,2396.47,1,45.21641509433962,4-5 Yrs
Female,0,No,No,9,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),63.76,596.89,1,66.32111111111111,0-1 Yr
Female,0,Yes,No,41,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,One year,Yes,Electronic check,108.08,4422.35,0,107.86219512195123,2-4 Yrs
Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,117.0,7348.97,0,116.65031746031747,5+ Yrs
Female,0,Yes,Yes,20,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Electronic check,61.31,1237.17,0,61.85850000000001,1-2 Yrs
Female,0,Yes,Yes,65,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,No,Mailed check,103.15,6723.44,0,103.43753846153845,5+ Yrs
Female,0,Yes,No,40,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,23.44,933.53,0,23.33825,2-4 Yrs
Female,1,Yes,No,23,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,One year,Yes,Electronic check,104.45,2408.9,1,104.73478260869565,1-2 Yrs
Male,0,Yes,Yes,34,No,Yes,DSL,No,No,Yes,Yes,No,No,One year,Yes,Electronic check,82.21,2814.55,1,82.78088235294118,2-4 Yrs
Male,1,No,Yes,55,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,Yes,Mailed check,67.85,3758.52,0,68.33672727272727,4-5 Yrs
Female,1,Yes,Yes,29,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,108.78,3194.18,0,110.14413793103448,2-4 Yrs
Female,0,Yes,No,56,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,104.22,5821.77,1,103.96017857142859,4-5 Yrs
Female,0,No,Yes,46,Yes,No,No,Yes,No,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),48.29,2266.49,1,49.27152173913043,2-4 Yrs
Male,1,Yes,Yes,34,Yes,Yes,No,Yes,Yes,No,No,No,Yes,One year,No,Mailed check,98.73,3370.55,0,99.13382352941177,2-4 Yrs
Female,0,Yes,No,18,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),28.15,535.47,0,29.748333333333335,1-2 Yrs
Male,0,No,No,7,Yes,Yes,DSL,No,No,No,Yes,Yes,No,One year,No,Credit card (automatic),101.92,733.42,0,104.77428571428571,0-1 Yr
Male,0,Yes,No,25,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),86.9,2143.06,0,85.7224,2-4 Yrs
Male,0,Yes,Yes,70,No,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,No,Electronic check,26.96,1844.34,1,26.347714285714286,5+ Yrs
Male,1,Yes,No,29,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,87.67,2565.06,1,88.4503448275862,2-4 Yrs
Male,0,No,No,6,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Electronic check,77.21,464.37,0,77.395,0-1 Yr
Female,0,Yes,Yes,66,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Two year,Yes,Mailed check,78.64,5210.46,0,78.94636363636364,5+ Yrs
Female,0,Yes,No,64,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),47.67,3048.56,0,47.63375,5+ Yrs
Female,0,No,Yes,35,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Two year,No,Mailed check,45.18,1562.52,0,44.64342857142857,2-4 Yrs
Female,0,Yes,Yes,24,No,No,No,Yes,No,No,No,Yes,No,One year,No,Bank transfer (automatic),95.78,2277.22,0,94.88416666666666,2-4 Yrs
Female,0,No,No,36,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),44.19,1613.89,0,44.83027777777778,2-4 Yrs
Male,0,No,No,0,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,63.52,0.0,0,63.52,0-1 Yr
Female,0,Yes,No,14,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,No,Bank transfer (automatic),88.87,1265.65,1,90.40357142857144,1-2 Yrs
Female,0,No,No,36,Yes,No,DSL,Yes,No,No,No,No,No,One year,Yes,Credit card (automatic),26.12,928.72,0,25.797777777777778,2-4 Yrs
Male,0,No,No,12,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),78.64,970.77,0,80.8975,1-2 Yrs
Female,1,Yes,No,7,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Electronic check,78.12,511.12,0,73.01714285714286,0-1 Yr
Male,0,No,Yes,4,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,87.79,321.66,0,80.415,0-1 Yr
Female,0,No,Yes,59,Yes,Yes,No,Yes,Yes,No,Yes,No,No,One year,No,Bank transfer (automatic),55.73,3306.66,0,56.04508474576271,4-5 Yrs
Male,1,Yes,No,0,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),63.8,0.0,0,63.8,0-1 Yr
Female,0,Yes,Yes,35,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),51.66,1778.49,1,50.814,2-4 Yrs
Female,0,Yes,No,34,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,One year,Yes,Credit card (automatic),100.43,3454.9,1,101.61470588235295,2-4 Yrs
Male,0,No,Yes,65,Yes,No,DSL,Yes,No,No,No,No,No,Two year,No,Mailed check,31.32,2013.39,0,30.97523076923077,5+ Yrs
Male,0,Yes,Yes,62,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),116.22,7197.75,1,116.09274193548387,5+ Yrs
Male,0,No,Yes,22,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,82.75,1790.73,0,81.39681818181818,1-2 Yrs
Male,0,No,No,8,Yes,Yes,No,Yes,No,Yes,No,No,No,One year,No,Electronic check,108.46,856.48,0,107.06,0-1 Yr
Male,0,No,Yes,33,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),61.48,2028.0,0,61.45454545454545,2-4 Yrs
Male,0,No,No,45,Yes,Yes,No,No,Yes,No,Yes,No,No,One year,No,Bank transfer (automatic),51.89,2314.57,0,51.43488888888889,2-4 Yrs
Male,0,No,Yes,3,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,No,Credit card (automatic),109.87,356.52,0,118.83999999999999,0-1 Yr
Male,0,No,Yes,29,Yes,No,DSL,Yes,No,No,No,No,No,One year,Yes,Electronic check,28.09,804.0,1,27.724137931034484,2-4 Yrs
Female,0,No,Yes,71,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Electronic check,29.94,2148.69,1,30.26323943661972,5+ Yrs
Female,0,Yes,Yes,2,No,No,No,No,Yes,No,No,No,Yes,Two year,No,Electronic check,48.53,67.77,0,33.885,0-1 Yr
Male,0,Yes,Yes,13,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),115.9,1494.4,1,114.95384615384616,1-2 Yrs
Female,1,No,No,59,No,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),82.57,4822.44,0,81.73627118644067,4-5 Yrs
Female,0,No,No,44,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),74.53,3305.18,1,75.11772727272727,2-4 Yrs
Female,0,Yes,Yes,33,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Electronic check,89.95,2980.94,0,90.33151515151515,2-4 Yrs
Female,0,No,Yes,44,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Mailed check,60.58,2697.3,0,61.30227272727273,2-4 Yrs
Male,0,Yes,Yes,60,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Credit card (automatic),95.32,5714.76,1,95.24600000000001,5+ Yrs
Female,0,Yes,Yes,15,No,No,DSL,No,Yes,No,No,Yes,No,One year,Yes,Credit card (automatic),58.11,901.62,0,60.108,1-2 Yrs
Male,1,Yes,No,65,Yes,No,No,No,Yes,No,Yes,No,No,Two year,Yes,Electronic check,102.29,6663.61,0,102.51707692307691,5+ Yrs
Female,1,No,Yes,39,Yes,No,No,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),45.26,1715.5,0,43.98717948717949,2-4 Yrs
Female,0,No,No,16,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,46.31,716.33,0,44.770625,1-2 Yrs
Female,1,Yes,Yes,33,No,No,DSL,No,No,No,No,Yes,No,Two year,No,Mailed check,71.28,2351.63,0,71.26151515151516,2-4 Yrs
Male,0,Yes,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,No,Bank transfer (automatic),61.94,940.97,0,62.73133333333333,1-2 Yrs
Female,0,Yes,Yes,59,Yes,Yes,No,No,No,Yes,No,No,No,One year,No,Credit card (automatic),84.11,4919.05,0,83.37372881355932,4-5 Yrs
Male,0,Yes,Yes,65,Yes,No,DSL,No,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),55.16,3605.91,0,55.47553846153846,5+ Yrs
Female,1,Yes,No,65,Yes,No,No,Yes,No,No,Yes,No,Yes,Two year,No,Mailed check,41.52,2703.15,1,41.58692307692308,5+ Yrs
Male,0,No,Yes,12,Yes,No,No,No,No,No,No,Yes,No,Two year,No,Mailed check,65.92,793.62,0,66.135,1-2 Yrs
Female,0,Yes,Yes,55,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),75.22,4116.3,0,74.84181818181818,4-5 Yrs
Male,0,No,Yes,30,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),32.55,985.98,0,32.866,2-4 Yrs
Male,0,Yes,No,33,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Mailed check,74.79,2420.82,0,73.35818181818182,2-4 Yrs
Female,0,No,Yes,38,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),50.56,1877.75,0,49.41447368421053,2-4 Yrs
Male,0,No,Yes,66,No,No,No,No,No,No,Yes,Yes,No,One year,Yes,Mailed check,58.03,3853.37,0,58.38439393939394,5+ Yrs
Female,0,No,No,7,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Bank transfer (automatic),46.49,307.62,0,43.94571428571429,0-1 Yr
Female,0,No,No,54,Yes,No,DSL,Yes,No,Yes,No,No,No,Two year,Yes,Credit card (automatic),113.0,6086.7,0,112.71666666666667,4-5 Yrs
Female,0,No,No,26,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Mailed check,87.7,2251.04,0,86.57846153846154,2-4 Yrs
Female,0,No,Yes,52,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Two year,No,Mailed check,44.77,2322.6,0,44.66538461538461,4-5 Yrs
Female,0,Yes,Yes,38,Yes,Yes,No,No,No,No,Yes,No,Yes,One year,Yes,Mailed check,83.79,3139.22,0,82.61105263157894,2-4 Yrs
Female,0,No,Yes,64,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Mailed check,104.55,6671.24,0,104.238125,5+ Yrs
Female,1,Yes,No,16,Yes,No,DSL,Yes,Yes,No,No,Yes,No,One year,No,Bank transfer (automatic),58.97,946.23,0,59.139375,1-2 Yrs
Female,0,No,Yes,29,No,No,Fiber optic,Yes,No,Yes,No,No,Yes,One year,No,Credit card (automatic),102.66,2973.7,1,102.54137931034482,2-4 Yrs
Female,0,No,Yes,52,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),33.75,1804.97,1,34.71096153846154,4-5 Yrs
Female,0,Yes,No,12,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,101.92,1211.92,0,100.99333333333334,1-2 Yrs
Female,0,No,No,20,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),73.11,1450.9,0,72.545,1-2 Yrs
Male,0,Yes,No,18,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,40.74,733.68,0,40.76,1-2 Yrs
Male,0,Yes,No,52,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,59.53,3064.59,0,58.93442307692308,4-5 Yrs
Female,0,Yes,No,18,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),118.78,2175.67,0,120.87055555555555,1-2 Yrs
Female,0,Yes,Yes,56,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),97.92,5490.75,1,98.04910714285714,4-5 Yrs
Female,0,No,No,24,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Two year,Yes,Mailed check,76.66,1809.05,0,75.37708333333333,2-4 Yrs
Female,0,No,Yes,30,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,29.75,921.84,0,30.728,2-4 Yrs
Female,0,Yes,Yes,54,Yes,No,No,Yes,Yes,No,Yes,No,No,Two year,No,Mailed check,60.62,3226.91,0,59.75759259259259,4-5 Yrs
Female,0,No,No,22,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),44.83,1034.52,0,47.02363636363636,1-2 Yrs
Female,0,No,No,31,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),25.24,818.95,1,26.41774193548387,2-4 Yrs
Female,0,Yes,No,61,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Credit card (automatic),73.3,4479.26,0,73.4304918032787,5+ Yrs
Male,0,No,Yes,9,No,Yes,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Electronic check,108.7,939.43,1,104.38111111111111,0-1 Yr
Female,0,Yes,No,71,Yes,No,No,No,No,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),86.91,6142.14,0,86.50901408450704,5+ Yrs
Male,0,Yes,No,53,Yes,No,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),43.47,2281.85,0,43.053773584905656,4-5 Yrs
Female,0,No,No,51,Yes,No,DSL,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),76.51,3876.11,0,76.0021568627451,4-5 Yrs
Female,0,No,No,19,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),114.21,2169.74,0,114.19684210526314,1-2 Yrs
Male,1,No,No,31,Yes,No,No,No,Yes,Yes,No,No,Yes,Two year,No,Credit card (automatic),91.74,2888.4,0,93.1741935483871,2-4 Yrs
Female,1,Yes,Yes,13,No,No,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),88.33,1142.71,0,87.90076923076923,1-2 Yrs
Male,0,Yes,Yes,49,Yes,Yes,DSL,No,No,No,No,No,Yes,One year,Yes,Credit card (automatic),116.75,5736.91,0,117.07979591836734,4-5 Yrs
Female,0,No,Yes,27,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),99.49,2705.09,1,100.18851851851852,2-4 Yrs
Female,0,No,No,52,Yes,No,No,Yes,No,No,No,No,No,Two year,No,Electronic check,31.94,1698.04,0,32.65461538461538,4-5 Yrs
Male,0,No,No,23,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,No,Bank transfer (automatic),53.46,1182.96,0,51.43304347826087,1-2 Yrs
Female,0,No,No,21,Yes,No,No,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,116.44,2435.67,0,115.98428571428572,1-2 Yrs
Male,0,Yes,Yes,29,Yes,No,No,No,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,67.95,1999.02,0,68.93172413793103,2-4 Yrs
Female,0,No,No,62,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Mailed check,29.39,1853.67,0,29.897903225806452,5+ Yrs
Male,0,Yes,No,3,Yes,No,DSL,No,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),64.78,237.07,0,79.02333333333333,0-1 Yr
Male,0,Yes,No,58,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Credit card (automatic),89.09,5187.5,0,89.4396551724138,4-5 Yrs
Female,0,No,Yes,7,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Mailed check,119.75,812.77,0,116.11,0-1 Yr
Female,0,No,No,11,No,No,DSL,No,No,No,Yes,No,No,One year,No,Credit card (automatic),51.04,562.01,0,51.091818181818184,0-1 Yr
Male,0,No,Yes,30,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),70.44,2066.43,0,68.881,2-4 Yrs
Female,0,Yes,No,33,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Electronic check,107.73,3569.78,0,108.17515151515153,2-4 Yrs
Female,0,No,Yes,48,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,54.24,2608.95,0,54.353125,4-5 Yrs
Female,0,No,Yes,56,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,No,Electronic check,29.14,1648.52,1,29.437857142857144,4-5 Yrs
Male,1,Yes,Yes,25,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,114.79,2912.76,0,116.5104,2-4 Yrs
Male,0,No,No,17,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,67.82,1171.67,1,68.92176470588235,1-2 Yrs
Male,0,Yes,No,37,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),69.28,2545.4,1,68.7945945945946,2-4 Yrs
Male,0,No,Yes,49,Yes,No,No,No,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),81.36,3956.51,0,80.74510204081633,4-5 Yrs
Male,0,Yes,Yes,7,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,18.36,163.98,0,23.425714285714285,0-1 Yr
Male,0,No,No,40,Yes,No,No,Yes,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),112.98,4488.63,0,112.21575,2-4 Yrs
Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,No,Electronic check,54.87,240.51,0,48.102,0-1 Yr
Male,0,Yes,Yes,68,Yes,No,No,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,58.49,3947.98,0,58.05852941176471,5+ Yrs
Male,0,Yes,No,43,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),35.76,1538.56,0,35.78046511627907,2-4 Yrs
Female,0,No,No,63,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),56.57,3526.33,0,55.97349206349206,5+ Yrs
Male,0,Yes,No,28,No,Yes,No,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,100.0,2843.81,1,101.56464285714286,2-4 Yrs
Female,0,Yes,No,27,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),99.6,2735.83,0,101.32703703703703,2-4 Yrs
Female,0,Yes,Yes,10,Yes,No,No,No,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),113.45,1181.88,0,118.18800000000002,0-1 Yr
Female,0,Yes,No,64,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,59.13,3738.23,0,58.40984375,5+ Yrs
Male,1,No,No,18,No,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),90.29,1669.84,0,92.76888888888888,1-2 Yrs
Male,0,No,Yes,8,Yes,Yes,DSL,Yes,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),69.74,607.66,0,75.9575,0-1 Yr
Male,0,Yes,Yes,26,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),100.01,2644.5,0,101.71153846153847,2-4 Yrs
Male,0,Yes,No,33,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),90.68,3009.53,0,91.19787878787879,2-4 Yrs
Female,0,Yes,No,43,Yes,No,No,Yes,No,No,No,No,No,One year,No,Credit card (automatic),55.53,2407.91,0,55.99790697674418,2-4 Yrs
Male,0,Yes,No,67,Yes,No,DSL,No,Yes,No,No,Yes,Yes,One year,No,Mailed check,52.34,3469.01,0,51.77626865671642,5+ Yrs
Male,0,No,No,14,Yes,No,No,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),43.75,649.93,0,46.42357142857143,1-2 Yrs
Male,0,No,Yes,50,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),76.8,3795.96,0,75.9192,4-5 Yrs
Male,0,Yes,Yes,12,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,116.31,1377.49,1,114.79083333333334,1-2 Yrs
Male,0,Yes,Yes,48,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),38.41,1892.8,0,39.43333333333333,4-5 Yrs
Female,0,Yes,No,69,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),27.72,1904.91,0,27.60739130434783,5+ Yrs
Male,0,No,No,55,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,30.18,1623.02,0,29.509454545454545,4-5 Yrs
Female,0,Yes,No,50,Yes,No,No,No,No,No,Yes,Yes,No,One year,No,Bank transfer (automatic),97.88,4940.93,0,98.8186,4-5 Yrs
Male,0,No,No,36,No,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),53.71,1981.97,0,55.054722222222225,2-4 Yrs
Female,0,Yes,Yes,16,Yes,No,DSL,Yes,No,No,No,No,No,One year,No,Credit card (automatic),40.89,622.94,0,38.93375,1-2 Yrs
Male,0,No,Yes,57,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,No,Electronic check,53.99,3113.91,1,54.629999999999995,4-5 Yrs
Male,1,Yes,No,28,Yes,No,No,No,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),83.82,2336.0,0,83.42857142857143,2-4 Yrs
Female,0,No,Yes,32,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,73.77,2348.78,0,73.399375,2-4 Yrs
Female,0,Yes,No,59,No,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,93.85,5513.42,1,93.44779661016949,4-5 Yrs
Female,0,Yes,No,54,Yes,Yes,DSL,No,No,No,No,No,Yes,One year,No,Mailed check,52.59,2794.33,0,51.74685185185185,4-5 Yrs
